" and "," и "
"As low as:","Начиная с:"
"Attribute Set Name:","Название прикладного типы товаров:"
"Attributes","Свойства"
"Authors","Авторы"
"Available Products","Доступные товары"
"Back","вернуться"
"Big Image","Большое изображение"
"Billing Address","Плательщик"
"Billing Agreement","Соглашение с PayPal о безакцептном списании"
"Bundle Items","Товары комплекта"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Товарный комплект с динамическими ценами не может содержать настраиваемые варианты. Варианты не будут сохранены."
"CSV / Tab separated","CSV (разделитель — табуляция)"
"Cancel URL: ","URL отмены: "
"Card Verification Number","Код проверки подлинности карты (содержит 3 или 4 цифры, располагается на обратной стороне Вашей банковской карты, иногда называется CVV2 или CVC2)"
"Carrier","Перевозчик"
"Catalog","Каталог"
"Chairs","Стулья"
"Change Orientation","Изменить ориентацию"
"Channel","Канал"
"Child Transactions","Подтранзакция"
"Choose Store View","укажите витрину"
"Choose a selection...","Выберите набор..."
"Clear","Очистить"
"Client Session Timeout (sec.)","Через какое время в секундах аннулировать авторизацию внешних программ?"
"Close","Закрыть"
"Comments History","История комментариев"
"Confirmed email:","Проверен ли адрес электронной почты?"
"Connect with the Magento Community","Связаться с сообществом Magento"
"Contents","Содержание"
"Continue","Продолжить"
"Country:","Страна:"
"Created At","Создано"
"Credit Card %s","Банковская карта %s"
"Credit Card Number","Номер банковской карты"
"Credit Card Number: xxxx-%s","Номер банковской карты: xxxx-%s"
"Credit Card Type","Тип банковской карты"
"Credit Card Type: %s","Тип банковской карты: %s"
"Credit Memo History","Замечания к документу"
"Credit Memo Totals","Сумма возврата"
"Current Configuration Scope:","Назначение текущих настроек:"
"Custom","указать детально"
"Custom Colors","Настраиваемые цвета"
"Customer","Покупатель"
"Customer Group:","Категория покупателей:"
"Customer Since:","Дата регистрации:"
"Customers","Покупатели"
"DHTML Date/Time Selector","DHTML выбор даты и времени"
"Dashboard","Сводка"
"Data Format","Формат данных"
"Data transfer:","Откуда взять файл?"
"Date selection:","Выбор даты:"
"Date selector","Выбор даты"
"Decimal separator:","Десятичный разделитель:"
"Default (Admin) Values","Стандартные значения свойств и настроек"
"Default Billing Address","Стандартные платёжные реквизиты"
"Default Response Charset","Стандартная кодировка ответа Magento внешним программам"
"Default Values","Значения по умолчанию"
"Delete","Удалить"
"Direction:","Направление:"
"Display %s first","Выводить %s первым"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Посетите %s для подробной информации."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Не включайте проверку допустимости адреса или CSC. Они не работают в режиме Payflow Link Silent."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Не делайте поля из блока Информация о доставке и плательщике редактируемыми в Вашем Payflow аккаунте."
"Drag to move","Тяните, чтобы переместить"
"Edit Filter","Изменение фильтра"
"Edit Role","Настройка должности"
"Edit User '%s'","Администратор: «%s»"
"Email","Адрес электронной почты"
"Email Preview","Предварительный просмотр письма"
"Email:","Адрес электронной почты:"
"Enable Secure Token:","Включить маркер безопасности:"
"Enable WSDL Cache","Кэшировать описания веб-сервисов (WSDL)?"
"Enclose Values In:","Заключить значения в:"
"Entity Attributes","Свойства сущности"
"Entity type:","Тип сущности:"
"Excl. Tax","без налогов"
"Expiration Date","Дата истечения срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Export","экспорт"
"Export FAQ","Экспортировать FAQ"
"Export Filters","Фильтры экспорта"
"Export to:","экспортировать в:"
"Export:","Экспорт:"
"Extension","Расширение"
"Extensions","Расширения"
"FILTERS APPLIED","ФИЛЬТРЫ ПРИМЕНЕНЫ"
"FTP Host[:Port]","FTP сервер[:порт]"
"Field Mapping","Привязка полей (mapping)"
"File Information","Файл для экспорта/импорта"
"File name:","Имя файла:"
"Files","Файлы"
"Final Price","Окончательная цена"
"Finished profile execution.","Программа выполнена."
"First Name:","Имя:"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"From","От"
"General Information","Основная информация"
"General Section","Общий раздел"
"Get help for this page","Помощь по странице"
"Global Record Search","Универсальный административный поиск"
"Go Today","Сегодня"
"Go to messages inbox","список уведомлений"
"Go to notifications","список уведомлений"
"Group:","Группа:"
"Help Us Keep Magento Healthy - Report All Bugs","Помогите сделать Magento лучше — сообщайте обо всех ошибках"
"Home","Главная"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Если Ваш экземпляр Magento используется для нескольких сайтов, то вам необходимо настроить для каждого сайти свой Payflow Link аккаунт."
"Ignore","Игнорировать"
"Images","Изображения"
"Import","Импорт"
"Import / Export FAQ (Frequently Asked Questions)","Импорт / Экспорт FAQ (Часто задаваемые вопросы)"
"Import FAQ","Импортировать FAQ"
"Import Service","источник данных:"
"Important: ","Важно:"
"In Database:","В базе данных:"
"In File:","В файле:"
"In Stock","в наличии"
"Inactive Tabs","Закрытые вкладки"
"Incl. Tax","с налогами"
"Include","Включить"
"Interactive","я закачаю файл через браузер"
"Interface Locale: %s","Язык интерфейса: %s"
"Invalid webservice adapter specified.","Указан неверный адаптер интернет сервиса."
"Invalid webservice handler specified.","Указан неверный обработчик интернет сервиса."
"Invoice History","История счетов"
"Invoice Totals","Сумма оплаты"
"Is Closed","последняя?"
"Issue Number","Номер проблемы"
"Issuer: %s","Сообщил: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Кэш JavaScript/CSS"
"Last 5 Orders","Последние 5 заказов"
"Last 5 Search Terms","Последние 5 поисковых запросов"
"Last Logged In (%s):","Последнее посещение магазина (%s):"
"Last Logged In:","Последнее посещение магазина:"
"Last Name:","Фамилия:"
"Latest Message:","Последнее уведомление:"
"Leave empty to use tax identifier","Эти поля заполнять необязательно. Если поле незаполнено для конкретной витрины, то система будет использовать для этой витрины стандартное название, заданное выше в графе «Название»."
"Links with associated products will retain only after saving current product.","Связи с объединёнными товарами будут сохранены только после сохранения текущего товара."
"Loading...","Загружается..."
"Local Server","Локальный сервер"
"Local/Remote Server","я укажу путь к файлу"
"Log In","Войти"
"Log Out","Выйти"
"Logged in as %s","В системе как %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","API"
"Magento Core Api","API"
"Magento Core Api Section","Подключение внешних программ к магазину"
"Magento Logo","Логотип Magento"
"Magento ver. %s","Magento вер. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Торговая марка Magento&trade; принадлежит компании Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Основные вкладки"
"Make Inactive","Сделать неактивной"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Убедитесь, что содержимое файла отображается корректно и сам файл сохранён в одной из поддерживаемых кодировок (UTF-8 или ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Убедитесь, что Вы настроили параметры дизайна для формы Payflow Link в Вашем аккаунте Payflow link."
"Manage Stores","Магазины"
"Max","Максимум"
"Min","Минимум"
"More Tabs","Дополнительные вкладки"
"N/A","неизвестно"
"Name","Имя"
"Name on Card","Имя владельца карты (латинскими буквами, в точности так, как написано на карте)"
"Name on the Card: %s","Имя владельца карты: %s"
"Name:","Имя:"
"Next month (hold for menu)","Следующий месяц (подержать для появления меню)"
"Next page","Следующая страница"
"Next year (hold for menu)","Следующий год (подержать для появления меню)"
"No","нет"
"No Data Found","Данные не найдены"
"No information available.","Информация недоступна."
"No profile loaded...","Программа не загружена..."
"No search keywords.","Пока никто ничего не искал."
"None","нет"
"Note:","Примечание:"
"Number of records:","Количество записей:"
"Old rate:","Старый курс:"
"On my website","На моём сайте"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","После входа в Ваш аккаунт Payflow Link, пройдите в Service Settings — Hosted Checkout Pages - Set Up menu и установите параметры описанные ниже"
"Only mapped fields","Только привязанные поля (mapped)"
"Options menu items","Параметры позиций меню"
"Order ID","№ заказа"
"Order Totals","Стоимость заказа"
"Order cannot be placed.","Заказ не может быть размещён."
"Original Magento attribute names in first row:","Оригинальные имена свойств Magento в первой строке:"
"Out of stock","Отсутствует"
"Package","Пакет"
"Packages","Пакеты"
"Page","страница"
"Parent Transaction ID","№ основной транзакции"
"Passive mode","Пассивный режим"
"Password","Пароль"
"Path","Путь"
"Path:","Путь:"
"Personal Information","Личная информация"
"Phone:","Телефон:"
"Please Select","Выберите"
"Please continue with placing order.","Продолжайте оформление заказа."
"Please enter 6 or more characters.","Укажите значение длиной не менее 6 символов."
"Please enter a number greater than 0 in this field.","Укажите положительное число."
"Please enter a valid $ amount. For example $100.00.","Укажите денежную сумму в долларах, поставив перед дней знак доллара. Например: «$100.00»."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Укажите правильный веб-адрес. Например: «http://www.example.com» или «www.example.com»."
"Please enter a valid URL. http:// is required","Укажите правильный веб-адрес. Не забудьте, что правильный веб-адрес начинается с символов «http://»."
"Please enter a valid credit card number.","Укажите правильный номер банковской карты."
"Please enter a valid date.","Укажите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Укажите правильный адрес электронной почты. Например, «ivanov@mail.ru»."
"Please enter a valid number in this field.","Укажите в этом поле число (именно число, без букв)."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Система не смогла распознать указанный Вами номер телефона. Укажите номер телефона в каком-либо общеупотребительном формате."
"Please enter a valid social security number. For example 123-45-6789.","Укажите правильный номер социального страхования. Например, 123-45-6789."
"Please enter a valid value from list","Выбрите одно из перечисленных в списке значений"
"Please enter a valid value, ex: 10,20,30","Укажите в данном поле одно или несколько натуральных чисел. Числа разделяйте запятыми, например: 10,20,30"
"Please enter a valid zip code.","Укажите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Укажите правильный почтовый индекс. Например, 690014."
"Please enter another credit card number to complete your purchase.","Укажите номер другой банковской карты."
"Please enter valid password.","Укажите пароль длиной не менее 6 символов."
"Please make sure that your changes were saved before running the profile.","Перед запуском программы не забудьте сохранить её настройки."
"Please make sure your passwords match.","Укажите одно и то же значение в обоих полях для пароля."
"Please select State/Province.","Укажите область."
"Please select an option.","Укажите параметр."
"Please select one of the above options.","Укажите один из перечисленных вариантов."
"Please select one of the options.","Укажите один из вариантов."
"Please use in this field only ""a-z,0-9,_"".","Используйте в этом поле только «a-z,0-9,_»."
"Please use letters only (a-z) in this field.","Используйте в этом поле только буквы (a-z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Используйте в этом поле только цифры. Избегайте пробелы или другие символы (точки, запятые и т.п.)."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Используйте в этом поле только буквы (a-z) или цифры (0-9). Пробелы и другие символы запрещены."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Используйте в этом поле только буквы (a-z), цифры (0-9), пробелы и #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Используйте следующий формат даты: дд/мм/гггг. Например, 17/03/2006 для 17-го марта 2006-го года."
"Please wait while the indexes are being refreshed.","Дождитесь составления расчётных таблиц..."
"Please wait, loading...","Загрузка..."
"Preset Theme","Предустановленная тема"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Preview","показать на витрине"
"Previous page","Предыдущая страница"
"Price","Цена"
"Price:","Цена:"
"Product","Товар"
"Product Name3 ","Название товара3"
"Product Name3 1","Название товара3 1"
"Product Name3 2","Название товара3 2"
"Products","Товары"
"Profile Information","Основные параметры"
"Qty","Количество"
"Qty:","Количество:"
"Read details","подробности"
"Reference ID","№ образца"
"Regular Price:","Обычная цена:"
"Remote FTP","Удалённый FTP"
"Remove","Удалить"
"Required settings","Обязательные настройки"
"Reset","Сбросить"
"Reset Successful","Успешно сброшено"
"Resource Access","Полномочия"
"Resources","Доступные разделы и допустимые операции"
"Return URL: ","Веб-адрес возврата: "
"Role Users","Администраторы в этой должности"
"Roles","Должности"
"Roles Resources","Полномочия для должностей"
"SKU","Артикул"
"SKU:","Артикул:"
"SORT BY:","Сортировать по:"
"Save Theme","сохранить тему"
"Screens:","Экраны:"
"Search","Применить фильтр"
"Select All","выбрать все"
"Select Date","Выбрать дату"
"Select Range","Выбрать период"
"Select Template","Выбрать шаблон"
"Select Visible","выбрать видимые"
"Select date","Выбрать дату"
"Shipment Comments","Комментарии к доставке"
"Shipment History","История доставки"
"Shipping Address","Адрес доставки"
"Shipping address selection is not applicable","К сожалению, в настоящий момент выбранный Вами способ оплаты использовать невозможно. Выберите другой."
"Shipping method selection is not applicable","К сожалению, в настоящий момент выбранный Вами способ доставки использовать невозможно. Выберите другой."
"Show By","Показывать по"
"Show Report For","Показать отчет для"
"Show confirmation page: ","Показать страницу подтверждения: "
"Silent Post URL:","Silent Post URL:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Некоторые товары в этом заказе имеют разные типы счёта и доставки. Вы можете создать доставку только после создания счёта."
"Some other FAQ","Некоторые другие FAQ"
"Sort Order","порядок"
"Special Price:","Цена со скидкой:"
"Spreadsheet Name:","Название таблицы:"
"Start Date","Начальная дата"
"Start/Reset Validation...","Начать/Прервать проверку"
"Starting profile execution, please wait...","Программа выполняется, подождите..."
"State/Province:","Область:"
"Status","Состояние"
"Status:","Состояние:"
"Stock Quantity:","Количество в наличии:"
"Store:","Магазин:"
"Switch/Solo card issue number: %s","Номер Switch/Solo карты: %s"
"Switch/Solo card start Date: %s/%s","Дата Switch/Solo карты: %s/%s"
"Switch/Solo/Maestro Only","Только Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Только Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Номер Switch/Solo/Maestro(UK Domestic) карты: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Дата Switch/Solo/Maestro(UK Domestic) карты: %s/%s"
"Synchronization is required.","Требуется сверка."
"System","Система"
"System busy","Система занята"
"T-Shirts","T-Shirts"
"Target","Цель"
"Tell a Friend","Покажи другу"
"Template Name","Название шаблона"
"The card has failed verification with the issuer bank.","Карта не прошла проверку у банка, который её выдал."
"The information in this tab has been changed.","Информация на этой вкладке была изменена."
"Theme has been saved.","Тема сохранена."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","При проведении платежа произошёл сбой. Возможно, платёжная информация неправильна. Так же сбой мог произойти на стороне платёжной системы. Проверьте платёжную информацию и повторите попытку."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Магазин ещё находится в разработке, заказы пока не принимаются."
"This is a required field.","Это обязательное поле."
"This tab contains invalid data. Please solve the problem before saving.","На этой вкладке содержатся неверные данные. Исправьте их перед сохранением."
"Thumbnail","Мини-изображение"
"Time selection:","Выбор времени:"
"Time:","Время:"
"Title bar","Строка заголовка"
"To","До"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Для отмены не обработанных авторизаций (pending authorizations) и освобождения средств, которые уже были обработаны для этого платежа, нажмите Отменить."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Для использования Payflow Link вам необходимо настроить Ваш аккаунт Payflow Link на сайте Paypal."
"Top 5 Search Terms","5 самых популярных поисковых запросов"
"Total %d records found","всего объектов: %d"
"Track Order","Отследить заказ"
"Track this shipment","Отследить груз"
"Transaction Data","Данные транзакции"
"Transaction Details","Подробности транзакции"
"Transaction ID","№ транзакции"
"Transaction Type","Тип транзакции"
"Try Magento Go for Free","Попробовать Magento Go бесплатно"
"Type","Тип"
"Type:","Тип:"
"Unable to login.","Невозможно войти."
"Unknown Error","Неизвестная ошибка"
"Unknown Error.","Неизвестная ошибка."
"Unselect All","сбросить выбор"
"Unselect Visible","сбросить выбор с видимых"
"Update Preview","Обновить предварительный просмотр"
"Updated At","Обновлено"
"Use Default Value","Использовать значение по умолчанию"
"Use Silent Post:","Использовать Silent Post:"
"User","Администратор"
"User Name","Системное имя"
"User Roles","Должности администратора"
"User name","Системное имя"
"Users","Администраторы"
"Validation Results","Проверка результатов"
"Value Delimiter:","Разделитель:"
"Verification Failed","Проверка не прошла"
"Verification Successful","Ваша банковская карта одобрена"
"Verification cannot be processed","Проверка не может быть проведена"
"View","Выводить"
"View Details","Просмотреть подробности"
"View Gallery","Просмотреть галерею"
"View Statistics For","Просмотр статистики для"
"Visibility:","Видимость:"
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустое значение может вызвать проблемы с CSV форматом."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Внимание!\r\nДанное действие уволит этого администратора со всех должностей.\r\nВы уверены?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Внимание!\r\nДанное действие уволит этих администраторов со всех их должностей.\r\nВы уверены?"
"Warning: Please do not close the window during importing/exporting data","Предупреждение: пожалуйста, не закрывайте окно во время импорта/экспорта данных"
"We detected that your JavaScript seem to be disabled.","Вероятно, у Вас отключен JavaScript."
"Web Services","Доступ извне"
"What is this?","Что это?"
"WS-I Compliance","Привести программный интерфейс Magento для внешних программ в соответствие рекомендациям WS-I?"
"Yes","да"
"You have %s unread message(s).","Непрочитано уведомлений: %s."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Вы должны включить JavaScript в Вашем браузере, чтобы использовать все функции этого сайта."
"Your account has been deactivated.","Ваша учётная запись деактивирована."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Настройки интерпретатора PHP на Вашем сервере позволяют Вам загружать на сервер не более %s файлов за раз общим размером %s. Эти ограничения заданы параметрами upload_max_filesize и post_max_size соответсвенно. Ван нужно изменить значения этих параметров интерпретатора PHP, если Вы хотите закачивать за раз больше файлов либо файлы большего размера."
"Zip/Postal Code:","Почтовый индекс:"
"critical","критично(е)"
"images/logo.gif","images/logo.gif"
"items selected","объектов выбрано"
"major","важно(е)"
"minor","обычно(е)"
"notice","новость"
"of %s pages","из %s"
"per page","на страницу"
"to","до"
