" Copy"," Копировать"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Чтобы перестать получать новости от нашего магазина, перейдите по следующей ссылке: <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Go","Подписаться"
"Go!","ОК"
"Guest","Гость"
"ID","№"
"Invalid queue selected.","Выбрана неверная очередь."
"Invalid subscription ID.","Подписка с указанным номером отсутствует в системе."
"Invalid subscription confirmation code.","Неправильный код подтверждения подписки."
"Message","Сообщение"
"Need to Confirm","Необходимо подтверждение"
"New Newsletter Template","Новый шаблон письма"
"New Template","Новый шаблон"
"Newsletter","Рассылка"
"Newsletter Message Preview","Предпросмотр новостного письма"
"Newsletter Problem Reports","Сбои рассылки"
"Newsletter Queue","Очередь рассылки"
"Newsletter Section","Раздел рассылки"
"Newsletter Sign-up:","Подпишитесь:"
"Newsletter sign-up","Подпишитесь"
"Newsletter Styles","Стили рассылки"
"Newsletter Subscribers","Подписчики рассылки"
"Newsletter Subscription","Подписка рассылки"
"Newsletter Subscriptions","Уведомления"
"Newsletter Templates","Шаблоны рассылок"
"Newsletter subscription confirmation","Подтверждение подписки"
"Newsletter subscription success","Подтверждение магазином подписки"
"Newsletter unsubscription success","Подтверждение магазином отписки"
"No Templates Found","Шаблон не найден"
"No problems found.","Проблем не обнаружено."
"No subscribers selected.","Не выбраны подписчики."
"Not Activated","не подтвердил подписку"
"Not Sent","Не отправлено"
"Pause","Приостановить"
"Paused","Приостановлено"
"Please enter a valid email address.","Укажите правильный адрес электронной почты."
"Please enter new template name","Введите название нового шаблона"
"Please select subscriber(s)","Выберите подписчика(ов)"
"Preview","Предпросмотр"
"Preview Template","Предпросмотр шаблона"
"Processed","Обработано"
"Queue Date Start","Дата запуска очереди"
"Queue Finish","Очередь готова"
"Queue Information","Параметры очереди"
"Queue Newsletter...","Письмо в очереди..."
"Queue Start","Старт очереди"
"Queue Subject","Тема очереди"
"Recipients","Получатели"
"Reset","Сбросить"
"Resume","Возобновить"
"Return HTML Version","Возвратить HTML версию"
"Save As","сохранить как"
"Save Newsletter","сохранить письмо"
"Save Template","сохранить шаблон"
"Save and Resume","сохранить и возобновить"
"Selected problem subscribers have been unsubscribed.","Выбранные проблемные подписчики были успешно отписаны от рассылки."
"Selected problems have been deleted.","Выбранные проблемы удалены."
"Sender","Отправитель"
"Sender Email","Отправитель письма"
"Sender Name","Имя отправителя"
"Sending","Отправка"
"Sent","Отправлено"
"Sign Up for Newsletter:","Уведомления по почте:"
"Sign Up for Our Newsletter:","Хотите быть в курсе выгодных предложений нашего магазина? Подпишитесь на новости!"
"Sign up for our newsletter",""
"Sign Up for Our Newsletter","на наши новости"
"Sign up for your email ...","укажите Ваш адрес электронной почты..."
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Извините, но подписка разрешена только для зарегистрированных посетителей. Пожалуйста, <a href=""%s"">зарегистрируйтесь</a>."
"Start","Пуск"
"Status","Состояние"
"Store","Магазин"
"Store View","Витрина"
"Subject","Тема"
"Submit","Отправить"
"Subscribe","подписаться"
"Subscribed","подписан"
"Subscriber","Подписчик"
"Subscribers","Подписчики"
"Subscribers From","Форма подписки"
"Subscription Options","Параметры подписки"
"Success Email Sender","Отправитель письма об успешной подписке"
"Success Email Template","Шаблон письма об успешной подписке"
"Template Content","Макет письма"
"Template Information","Параметры шаблона"
"Template Name","Название шаблона"
"Template Styles","Стили шаблона"
"Template Subject","Тема письма"
"Template Type","Тип шаблона"
"Thank you for your subscription.","Вы подписаны на новости магазина."
"The subscription has been removed.","Подписка удалена."
"The subscription has been saved.","Подписка сохранена."
"There was a problem with the subscription.","К сожалению, при подписке система дала сбой.<br/>Пожалуйста, сообщите об этом администратору магазина."
"There was a problem with the subscription: %s","Возникла проблема с подпиской: %s"
"There was a problem with the un-subscription.","Возникла проблема с отменой подписки."
"This email address is already assigned to another user.","Этот адрес электронной почты уже используется другим пользователем."
"Type","Тип"
"Unconfirmed","не подтвердил учётную запись"
"Unsubscribe","Отказаться"
"Unsubscribe Selected","Отменить подписку для выбранных"
"Unsubscribed","отписан"
"Unsubscription Email Sender","Отправитель письма об отмене подписки"
"Unsubscription Email Template","Шаблон письма об отмене подписки"
"View Newsletter","Просмотр письма"
"Website","Веб-сайт"
"You have been unsubscribed.","Ваша подписка отменена."
"Your subscription has been confirmed.","Ваша подписка подтверждена."
