"%s","%s"
"%s already exist.","Некий модуль пытается добавить в базу данных объекты типов «%s», однако система отказывается добавлять эти объекты, потому что в базе данных уже присутствуют другие объекты с теми же идентификационными данными, что у добавляемых.<br/>Обратитесь к разработчику модуля. Определить сбойный модуль можно, как правило, из контекста выполняемой операции."
"%s already exists.","Некий модуль пытается добавить в базу данных объект типа «%s», однако система отказывается добавлять это объект, потому что в базе данных уже присутствует другой объект с теми же идентификационными данными, что у добавляемого.<br/>Обратитесь к разработчику модуля. Определить сбойный модуль можно, как правило, из контекста выполняемой операции."
"-- Please Select --","-- выберите значение --"
"Model collection resource name is not defined.","Название ресурса модели коллекций не определено."
"Module ""%1$s"" cannot depend on ""%2$s"".","Модуль «%1$s» не может зависить от «%2$s»."
"Module ""%1$s"" requires module ""%2$s"".","Модуль «%1$s» требует наличия модуля «%2$s»."
"My Wishlist","План покупок"
"Name","Название"
"New Design Change","Новое правило оформления"
"New Store","Новый магазин"
"New Store View","Новая витрина"
"New Website","Новый сайт"
"No","нет"
"Offloader header","Заголовок HTTP, по наличию которого Magento будет определять, что запрос изначально пришёл по протоколу HTTPS, но уже был дешифрован в HTTP отдельным аппаратным устройством посредством технологии «SSL Offloading»"
"Package","Пакет"
"Page blocks HTML.","Кэширует разметку HTML экранных блоков"
"Pagination","Постраничная разбивка данных"
"Pagination Frame","Сколько номеров страниц отображать за раз в блоке постраничной навигации?"
"Pagination Frame Skip","На какое количество страниц требуется пролистать информационный список при нажатии на ссылку «...»?"
"Parent directory does not exist: %s","Родительский раздел не существует: %s"
"Place Order","Подтвердить заказ"
"Please choose to register or to checkout as a guest","Пожалуйста, сделайте выбор: зарегистрироваться или оформить заказ без регистрации на сайте"
"Please define flag code.","Определитесь с этим кодом."
"Please enter 6 or more characters.","Укажите значение длиной не менее 6 символов."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Укажите значение длиной не менее 6 символов. Пробелы в начале и в конце строки не учитываются системой."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Пожалуйста, введите 6 или более символов. Пароль должен содержать как буквы, так и цифры."
"Please enter a number 0 or greater in this field.","Пожалуйста, введите в это поле число больше 0 или 0."
"Please enter a number greater than 0 in this field.","Пожалуйста, введите в это поле число больше 0."
"Please enter a number lower than 100.","Пожалуйста, введите число меньше 100."
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите правильную денежную величину. Например, $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Допустимые символы в адресе страницы: латинские буквы, цифры, дефис, подчёркивание, одна точка. Примеры: «example-page», «example-page.html» или «anotherlevel/example-page»."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите правильный адрес. Например, http://www.example.com или www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Пожалуйста, введите правильный адрес. Не забудьте указать протокол (http://, https:// или ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Пожалуйста, введите правильный XML-идентификатор. Например, something_1, block5, id-4."
"Please enter a valid credit card number.","Укажите правильный номер банковской карты."
"Please enter a valid credit card verification number.","Укажите правильный код проверки подлинности банковской карты."
"Please enter a valid date.","Укажите правильную дату."
"Please enter a valid day (1-%d).","Пожалуйста, введите правильный день (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Укажите правильный адрес электронной почты. Например, «ivanov@mail.ru»."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите правильный номер факса. Например, (123) 456-7890 или 123-456-7890."
"Please enter a valid full date","Пожалуйста, введите правильную полную дату."
"Please enter a valid month (1-12).","Пожалуйста, введите правильный месяц (1-12)."
"Please enter a valid number in this field.","Укажите в этом поле число (именно число, без букв)."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Система не смогла распознать указанный Вами номер телефона. Укажите номер телефона в каком-либо общеупотребительном формате."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например, 123-45-6789."
"Please enter a valid year (1900-%d).","Пожалуйста, введите правильный год (1900-%d)."
"Please enter a valid zip code.","Пожалуйста, введите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 9060 или 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Пожалуйста, введите номер вопроса или дату начала для типа карты switch/solo."
"Please enter valid password.","Укажите пароль длиной не менее 6 символов."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Пожалуйста, введите правильную CSS - длину. Например, 100px или 77pt или 20em или .5ex или 50%."
"Please make sure your passwords match.","Укажите одно и то же значение в обоих полях для пароля."
"Please select State/Province.","Пожалуйста, выберите область."
"Please select an option.","Пожалуйста, выберите значение из списка."
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из вариантов."
"Please specify either a category or a product, or both.","Пожалуйста, укажите раздел или товар, либо и то и другое."
"Please specify payment method.","Укажите способ оплаты."
"Please specify shipping method.","Укажите способ доставки."
"Please use letters only (a-z or A-Z) in this field.","Пожалуйста, используйте в этом поле только буквы (a-z или A-Z)."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте в этом поле только буквы (a-z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте в этом поле только цифры. Избегайте пробелов или других символов, наподобие точек и запятых."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте в этом поле только буквы (a-z или A-Z) или цифры (0-9). Пробелы и другие символы запрещены."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте в этом поле только буквы (a-z или A-Z), цифры (0-9), пробелы или #."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Пожалуйста, используйте в этом поле только буквы (a-z or A-Z), цифры (0-9) или подчёркивания (_). Первый символ должен быть буквой."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте в этом поле только буквы (a-z) или цифры (0-9). Пробелы и другие символы запрещены."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9), пробелы или #."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9) или подчёркивания(_). Первый символ должен быть буквой."
"Please use only visible characters and spaces.","Пожалуйста, используйте только видимые символы и пробелы."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте для даты формат: dd/mm/yyyy. Например, 17/03/2006 для 17-го марта 2006 года."
"Please wait, loading...","Загрузка..."
"Polls","Опросы"
"Popular Categories","Основные товарные разделы"
"Port (25)","Порт"
"Postal Code is Optional for the following countries","Страны, для адресов внутри которых покупателю необязательно указывать почтовый индекс"
"Product Details and Comment","товары и Ваши комментарии к ним"
"Product Image Watermarks","Водяные знаки на изображениях товаров"
"Profiler","Профилировщик"
"Qty","Количество"
"Recovery Link Expiration Period (days)","Срок действия (в днях) ссылки для восстановления пароля"
"Recurring Profiles","Подписки PayPal"
"Request Path for Specified Store","Веб-адрес, добавляемый в справочник перенаправлений, "
"Requested invalid store ""%s""","Запрошен неверный магазин «%s»"
"Resource is not set.","Ресурс не установлен."
"Return-Path Email","Обратный адрес"
"Reviews","Отзывы"
"Root Category","Корневой раздел"
"Sales Representative","Представитель по продажам"
"Save","сохранить и вернуться"
"Save Store","сохранить магазин"
"Save Store View","сохранить витрину"
"Save Website","сохранить сайт"
"Search","Найти"
"Search:","Найти:"
"Search entire store here...","поиск по магазину"
"Search Engines Optimization","Поисковая оптимизация (SEO)"
"Secure","HTTPS"
"Security","Безопасность"
"Select Date","Выберите дату"
"Select Media Database","Выберите медиа базу данных"
"Sender Email","Адрес электронной почты отправителя"
"Sender Name","Имя отправителя"
"Services","Доступ извне"
"Session Cookie Management","Куки"
"Session Lifetime (seconds)","Длительность сеанса (секунды)"
"Session Validation Settings","Параметры проверки подлинности сессий"
"Set Return-Path","Указывать ли в письмах обратный адрес<br/>(значение параметра «Return-Path»)?"
"Set as Default","Установить значением по умолчанию"
"Sign Up","Регистрация"
"Skin (Images / CSS)","Нестандартная папка браузерных файлов"
"Sort Order","порядок"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Указанная дата/время «%1$s» не соответствует формату «%2$s»."
"Start date cannot be greater than end date.","Дата начала не может быть больше даты окончания."
"Startup Page","Начальная страница"
"State is required for","Заполнение поля «Область» обязательно для следующих стран:"
"States Options","Обязательность и доступность заполнения поля «Область»"
"Status","Состояние"
"Storage Configuration for Media","Хранение картинок"
"Store","Магазин"
"Store Contact Address","Адрес"
"Store Contact Information","Контактная информация магазина"
"Store Contact Telephone","Телефон"
"Store Email Addresses","Электронная почта"
"Store Hours of Operation","Часы работы"
"Store Information","Настройки магазина"
"Store Name","Название магазина"
"Store View","Витрина"
"Store View Information","Настройки витрины"
"Store View Name","Витрина"
"Store view doesn't exist","Витрина не существует"
"Store with the same code","Магазин с таким же кодом"
"System","Система"
"System(config.xml, local.xml) and modules configuration files(config.xml).","Общие для системы настроечные файлы (app/etc/config.xml, app/etc.local.xml) и настроечные файлы config.xml для каждого установленного модуля."
"System Log File Name","Имя файла журнала сообщений"
"Template Path Hints","Подсказки пути шаблона"
"Template Variables","Переменные шаблона"
"Templates","Нестандартная папка шаблонов"
"Text length does not satisfy specified text range.","Указанный Вами текст слишком длинный или слишком короткий.<br/>Как правило, ограничения на длину текста указаны в примечании к полю ввода, посмотрите их внимательно."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Вы ввели что-то непонятное: %s. Убедитесь, что введённое Вами соответствует формату «http://domain.com/»."
"The model collection resource name is not defined.","Название ресурса модели коллекций не определено."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Код магазина должен содержать только буквы (a-z), цифры (0-9) или подчёркивание(_). Первый символ должен быть буквой"
"The store does not exist","Магазин не существует"
"The store has been deleted.","Магазин удалён."
"The store has been saved.","Магазин сохранён."
"The store view has been deleted.","Витрина удалена."
"The store view has been saved","Витрина сохранена"
"The template Name must not be empty.","Название шаблона не должно быть пустым."
"The value is not within the specified range.","Значение не входит в указанный диапазон."
"The website does not exist.","Сайт не существует."
"The website has been deleted.","Сайт удалён."
"The website has been saved.","Сайт сохранён."
"There are no recurring profiles yet.","У Вас пока нет подписок."
"Themes","Тема"
"This category and all its child elements","Этот раздел и все его дочерние элементы (разделы и товары)"
"This category and its child categories only","Этот раздел и все его дочерние разделы (без товаров)"
"This category and its products only","Этот раздел и только его товары"
"This category only","Только этот раздел"
"This date is a required value.","Эта дата - обязательное значение."
"This is a required field.","Это поле обязательно для заполнения."
"This store cannot be deleted.","Невозможно удалить этот магазин."
"This store view cannot be deleted.","Эту витрину нельзя удалять."
"This website cannot be deleted.","Этот сайт нельзя удалять."
"This will be displayed just before body closing tag.","Система добавит содержимое этого поля внизу каждой веб-страницы (прямо перед закрывающим тегом &lt;/body&gt;).<br/>Это поле идеально подходит для размещения кодов различных скриптов, которые должны выполняться на каждой странице: например, счётчиков систем «Яндекс.Метрика» и «LiveInternet»."
"This will be included before head closing tag in page HTML.","Система добавит содержимое этого поля перед закрывающим тегом &lt;/head&gt; каждой веб-страницы.<br/>Это поле идеально подходит для размещения кодов различных скриптов, которые должны выполняться на каждой странице: например, счётчиков систем «Яндекс.Метрика» и «LiveInternet»."
"Thumbnail","Картинка-миниатюра (для галереи дополнительных картинок на отдельной товарной странице)."
"Timezone","Часовой пояс"
"Title Prefix","Префикс заголовка"
"Title Suffix","Суффикс заголовка"
"Transactional Emails","Письма-оповещения"
"Translate Inline","Построчный перевод"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","При использовании функции подстрочного перевода (как на витрине, так и в админстративном интерфейсе) отключите кэширование."
"Translations","Языковые переводы"
"Translations Folder","Нестандартная папка языковых файлов темы"
"Translation files.","Кэширует языковые переводы"
"Two and more slashes together are not permitted in request path","Два и больше слэша подряд запрещены в пути запроса."
"Two and more slashes together are not permitted in url rewrite suffix","Два и больше символа «/» подряд в адресе указывать нельзя."
"Unable to create directory: %s","Невозможно создать папку: %s"
"Unable to delete store view. Please, try again later.","При удалении витрины произошёл сбой."
"Unable to delete store. Please, try again later.","При удалении магазина произошёл сбой."
"Unable to delete website. Please, try again later.","При удалении сайта произошёл сбой."
"Unable to proceed. Please, try again","Невозможно продолжить. Пожалуйста, повторите попытку"
"Unable to proceed. Please, try again.","Невозможно продолжить. Пожалуйста, повторите попытку."
"Unable to save file ""%s"" at ""%s""","Невозможно сохранить файл «%s» в «%s»"
"Unable to save file: %s","невозможно сохранить файл: %s"
"Unknown scope ""%s"".","Неизвестная область действия «%s»."
"Unsecure","HTTP"
"Url Options","Адреса страниц"
"Use Custom Admin URL","Использовать другой адрес (URL) для панели администрирования"
"Use HTTP Only","Сделать куки доступными только по протоколу HTTP?<br/><em>Если «да», то куки не будут доступны из JavaScript, что защищает от атак XSS.</em>"
"Use SID on Frontend","Добавлять ли к веб-адресам витрины ключ сессии?"
"Use Secure URLs in Admin","Использовать ли HTTPS для административной части?"
"Use Secure URLs in Frontend","Использовать ли HTTPS для витрины?"
"Use Web Server Rewrites","Убирать ли «index.php» из адресов страниц?"
"VAT Number","ИНН"
"Validate HTTP_USER_AGENT","Ограничивать действие сессии единым значением параметра HTTP_USER_AGENT запроса HTTP (этот параметр описывает браузер посетителя)"
"Validate HTTP_VIA","Ограничивать действие сессии единым значением параметра HTTP_VIA запроса HTTP (этот параметр указывает адрес IP прокси-сервера в том случае, когда тот смотрит сайт через прокси-сервер)"
"Validate HTTP_X_FORWARDED_FOR","Ограничивать действие сессии единым значением параметра HTTP_X_FORWARDED_FOR запроса HTTP (этот параметр указывает адрес IP посетителя в том случае, когда тот смотрит сайт через прокси-сервер)"
"Validate REMOTE_ADDR","Ограничивать действие сессии единым значением параметра REMOTE_ADDR запроса HTTP  (этот параметр указывает адрес IP посетителя в том случае, когда тот смотрит сайт без прокси-сервера)"
"Validation has failed.","Проверка не пройдена."
"Values less than 60 are ignored. Note that changes will apply after logout.","Значения меньше 60-ти будут проигнорированы. Изменения будут применены только после выхода (logout)."
"Variable Code must be unique.","Код переменной должен быть уникальным."
"View cart & checkout","Корзина"
"Web","Интернет"
"Web Services Configuration","Параметры прикладного программного интерфейса Magento для внешних систем"
"Web Services definition files (api.xml).","Кэширует файлы api.xml"
"Website","сайт"
"Website Information","Параметры сайта"
"Website Name","Сайт"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Код сайта может содержать только буквы (a-z), цифры (0-9) или подчёркивание(_). Первый символ должен быть буквой."
"Website with the same code","Сайт с таким же кодом"
"Weekend Days","Выходные дни недели"
"Welcome Text","Текст приветствия"
"Wrong file info format","Неверный информационный формат файла"
"Wrong number of arguments for %s","Неверное количество аргументов для %s"
"Yes","да"
"Your design change for the specified store intersects with another one, please specify another date range.","Ваше правило оформления пересекается по времени с другим. Укажите другой период действия правила."
"Your order cannot be completed at this time as there is no payment methods available for it.","К сожалению, при текущих параметрах Ваш заказ не может быть оформлен, потому что к нему не применим ни один из способов оплаты, доступных в нашем магазине. Свяжитесь с администратором магазина."
