"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s — %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"Backend Table","Backend таблица"
"Backend Table Title","Название Backend таблицы"
"Backorders","Разрешать ли заказ отсутствущих на складе магазина товаров?"
"Base Image","Крупная картинка (для отдельной товарной страницы)."
"Based On","Взять свойства из"
"Before Order Confirmation","при оформлении заказа, перед его размещением"
"Best Value","указанный администратором порядок"
"Block after Info Column","Блок после информационной колонки"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","внизу слева"
"Bottom/Right","внизу справа"
"Browse By","Фильтры"
"Bundle Items","Товары комплекта"
"Buy %1$s for %2$s","%2$s за %1$s шт."
"Buy %1$s for %2$s (%3$s incl. tax) each","%2$s от %1$s шт. (%3$s + налоги)"
"Buy %1$s for %2$s each","%2$s от %1$s шт."
"Buy %1$s with %2$s discount each","скидка %2$s при покупке от %1$s шт."
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"Cache refresh needed.","Изменения вступят в силу после обновления кэша."
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Точку перед окончанием писать не надо.<br/>Изменения вступят в силу после обновления кэша."
"Can be used only with catalog input type Dropdown","Эта опция доступна только если значением опции «Элемент управления для администратора» является «выпадающий список»."
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Эта опция доступна только если значением опции «Элемент управления для администратора» является «выпадающий список», «множественный выбор» или «цена»."
"Can\'t create image.","Невозможно создать изображение."
"Cancel","отменить"
"Cannot create image.","Невозможно создать изображение."
"Cannot create writeable directory '%s'.","Невозможно создать папку с правами для записи «%s»."
"Cart Item Attribute","Свойство строки заказа"
"Catalog","Каталог"
"Catalog Category Link","Ссылка на раздел каталога"
"Catalog New Products List","Список новинок продаж"
"Catalog Price Scope","Область действия цен каталога и учётной валюты"
"Catalog Product Compare List","Список товаров каталога для сравнения"
"Catalog Product Email to a Friend","Страница товара. «Рассказать другу»"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Ссылка на товар каталога"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Карточка группы однотипных товаров"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Карточка нематериального товара / услуги"
"Catalog Section","Раздел каталога"
"Catalog Seo Popular Search Terms","Catalog Seo Popular Search Terms"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Адреса страниц"
"Catalog, Search","Каталог, поиск"
"Categories","Разделы"
"Categories Sitemap","Карта разделов"
"Category","Раздел"
"Category API","API разделов"
"Category Data","Данные раздела"
"Category Flat Data","Разделы"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Классификатор"
"Category Sitemap","Карта товарных разделов"
"Category Top Navigation","Верхнее товарное меню"
"Category URL Suffix","Окончание для адресов страниц товарных разделов"
"Category attributes API","API свойств разделов"
"Category move error","Ошибка при перемещении раздела"
"Category move operation is not possible: the new parent category was not found.","Операция по перемещению раздела невозможна: новая родительский раздел не найдена."
"Category must be an instance of Mage_Catalog_Model_Category.","Раздел должн быть экземпляром класса Mage_Catalog_Model_Category."
"Center","по центру"
"Change","Изменить"
"Change status","Изменить состояние"
"Check items to add to the cart or","Хотите добавить эти товары в корзину?<br/>Укажите требуемые галочками, а затем нажмите кнопку «в корзину» рядом с основным товаром.<br/>Вы также можете"
"Choose an Option...","Выберите вариант..."
"Clear All","опустошить"
"Clear Price","Clear Price"
"Click for price","продадим дешевле"
"Close Window","Закрыть окно"
"Collapse All","свернуть всё"
"Comma-separated.","Разделение запятыми."
"Comparable","Сравнимый"
"Comparable on Front-end","Показывать ли в таблице сравнения товаров?"
"Comparable on the Frontend","Показывать ли в таблице сравнения товаров?"
"Compare","Сравнить"
"Compare Products","Сравнение товаров"
"Conditions Combination","Комбинация условий"
"Configurable Product","Настраиваемый товар"
"Configurable Product Settings","Параметры настраиваемого товара"
"Configure Product","Настроить товар"
"Continue","Продолжить"
"Continue shopping","закрыть сообщение"
"Copy From Configurable","Скопировать из настраиваемого"
"Country/State","Страна/область"
"Create","Создать"
"Create (Upload)","Создать (Закачать)"
"Create Empty","Создать пустым"
"Create Permanent Redirect for old URL","перенаправлять ли посетителей с прежнего адреса на новый?"
"Create Permanent Redirect for old URLs if Url key changed","перенаправлять ли посетителей с прежнего адреса на новый?"
"Create Permanent Redirect for URLs if URL Key Changed","Перенаправлять ли посетителей с прежнего адреса на новый при смене администратором адреса товара?"
"Create Product Settings","Параметры нового товара"
"Create Simple Associated Product","Добавить вариант"
"Create new category","Создать новый раздел"
"Create new product","Создать новый товар"
"Cross-sells","Прикассовая зона"
"Currently Shopping by:","Выбранные параметры:"
"Custom Design","Макет"
"Custom Options","Опции для покупателя"
"Customer Group","Категория покупателей"
"Customers Reviews","Отзывы покупателей"
"Customers Tagged Product","Авторы меток"
"Customers for alert %s were successfuly added to queue","Покупатели успешно добавлены в очередь для оповещения «%s»"
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
"Date & Time Custom Options","Даты"
"Date Fields Order","Порядок вывода полей дат"
"Date Subscribed","Дата подписки"
"Datetime","Дата и время"
"Decimal","Десятичное"
"Declare attribute value saving scope","Если Вы намерены использовать свойство в качестве настраиваемой покупателем опции настраиваемого товара, то укажите значение «всеобщая»."
"Default Popup Text Message","Пояснительное сообщение под реальной ценой"
"Default ""What's This"" Text Message","Пояснительное сообщение для ссылки «что это?»"
"Default Price","Цена по умолчанию"
"Default Price Navigation Step","Длина ценового интервала для пошаговой фильтрации"
"Default Qty","Количество по умолчанию"
"Default Values","Значения по умолчанию"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").",""
"Delete","Удалить"
"Delete Attribute","Удалить свойство"
"Delete Attribute Set","Удалить этот прикладной тип"
"Delete Category","Удалить раздел"
"Delete Group Price","Удалить особую цену"
"Delete Option","Удалить вариант"
"Delete Row","Удалить строку"
"Delete Search","Удалить поиск"
"Delete Selected Group","Удалить выбранную группу"
"Delete category","Удалить раздел"
"Delete product","Удалить товар"
"Depends on design theme","Даже при включенности опции её применение определяется оформительской темой."
"Description","Описание"
"Design","Оформление витрины"
"Details","Подробности"
"Disabled","не продавать"
"Disallowed file type.","Неразрешённый тип файла."
"Display in Suggested Terms","Показывать ли данный запрос в качестве подсказки при «живом поиске»?"
"Display Actual Price","В какой момент открывать реальную цену?"
"Display Product Count","Показывать количество товаров?"
"Double click on a group to rename it","Двойной щелчок по группе для её переименования"
"Double click on above image to view full picture","для увеличения картинки нажмите её дважды"
"Downloadable Information","Файлы"
"Duplicate","Дублировать"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Комбинация категории покупателей и количества заказанного товара, которую Вы указываете для конкретного уровня цен, должна быть уникальной среди всех уровней цен на данный товар в рамках текущего сайта."
"Duplicate website, country and state tax found.","Обнаружен дубликат сайта, страны и ставки налогов."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Например: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Обработка динамических данных влияет на скорость работы каталога."
"Edit","Редактировать"
"Edit Attribute Set '%s'","Прикладной тип товара: «%s»"
"Edit Product Attribute","Настройка свойства товара"
"Edit Product Attribute ""%s""","Свойство товара: «%s»"
"Edit Search","Правка поискового запроса"
"Edit Search '%s'","Правка поискового запроса: «%s»"
"Edit Set Name","Первичные параметры"
"Email","Адрес электронной почты"
"Email to %s was not sent.","Письмо по адресу %s не отослано."
"Email to a Friend","рассказать другу"
"Empty","Очистить"
"Enable MAP","Включить?"
"Enable Qty Increments","Контролировать ли кратность количества заказываемых единиц данного товара заданной партии?"
"Enable Recurring Profile","Является ли данный товар периодической услугой?"
"Enable WYSIWYG","Разрешать ли режим полного соответствия текстового редактора при редактировании администратором значения данного свойства?"
"Enable for reindexing a big number of SKUs.",""
"Enabled","продавать"
"Error during retrieval of option value: %s","Ошибка при выборе значения варианта: %s"
"Exclude","Исключить"
"Expand All","развернуть всё"
"Failed","Не удалось"
"Failed to move file: %s","Не удалось переместить файл: %s"
"Feature Products","Рекомендуемые товары"
"Field is not complete","Поле не заполнено"
"File options format is not valid.","Формат файла параметров недействительный."
"File upload failed","Закачка файла не удалась"
"Filter model name must be declared.","Название модели фильтра должно быть объявлено."
"Filter must be an object. Please set correct filter.","При применении фильтра произошёл сбой."
"Filterable (no results)","да (и показывать свойство в блоке пошаговой фильтрации, даже если множество результатов фильтрации по значению данного свойства пусто)"
"Filterable (with results)","да (и показывать свойство в блоке пошаговой фильтрации только при наличии непустого множества результатов фильтрации по значению данного свойства)"
"First Name","Имя"
"Fixed","Фиксированное значение"
"For internal use.","Видят только администраторы"
"Frontend","Витрина"
"Frontend Properties","Параметры для витрины"
"Gallery","Галерея"
"General","Основное"
"General Information","Главное"
"Get special price","Получить цену особого предложения"
"Gift Options","Параметры подарка"
"Global","всеобщая"
"Globally Editable","Редактируемые везде"
"Go to Home Page","Перейти на главную страницу"
"Grid","плитка"
"Group Price","Особые цены для конкретных категорий покупателей"
"Grouped Product","Группа однотипных товаров"
"Groups","Группы"
"Home","Главная"
"ID","№"
"ID: %s","номер: %s"
"If empty, the Category Name will be used","Если значение пустое, то будет использовано название раздела"
"If empty, the Product Name will be used","Если значение пустое, то будет использовано название товара"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Если Вы не укажете значение опции для витрины, тогда система будет использовать стандартное значение этой опции."
"Image","Изображение"
"Image content is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"Image does not exist.","Изображение не существует."
"Image file was not found.","Файл изображения не найден."
"Image type and information need to be specified for each store view.","Описание и настройки изображения задаются индивидуально для каждой витрины магазина."
"Images","Изображения"
"In Cart","в корзине"
"In Stock","в наличии"
"In stock","в наличии"
"Incl. Tax","с налогами"
"Index product and categories URL rewrites","Хранит веб-адреса витринных страниц"
"Index product attributes for layered navigation building","Хранит данные для пошаговой фильтрации"
"Index product prices","Хранит витринные цены"
"Indexed category/products association","Хранит связи между товарами и разделами"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Тип ввода"
"Integer","Целое"
"Invalid Tier Prices","Указанные оптовые цены недопустимы"
"Invalid attribute %s.","Неверное свойство %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Для свойства %s указано неправильное значение варианта (%s), пропуск записи."
"Invalid attribute set specified, skipping the record.","Указан неизвестный системе прикладной тип товаров, пропуск записи."
"Invalid block: %s.","Система не нашла блок «%s»."
"Invalid category IDs.","Неверные идентификаторы раздела."
"Invalid category.","Неверный раздел."
"Invalid image file type.","Неправильный тип файла изображения."
"Invalid image type.","Неправильный тип изображения."
"Invalid option ID specified for %s (%s), skipping the record.","Для свойства «%s» указано непонятное системе значение «%s». Система пропускает эту запись."
"Invalid product type specified, skipping the record.","Указан неправильный тип товара, пропуск записи."
"Invalid store specified","Указан неправильный магазин"
"Invalid store specified, skipping the record.","Указан неправильный магазин, пропуск записи."
"Invalid tier prices. The product is not associated to the requested website.","Указанные оптовые цены недопустимы, потому что этот товар не привязан к указанному сайту."
"Invalid transactional email code.","Недействительный код письма-оповещения."
"Inventory","Складской учёт"
"Is Default","По умолчанию"
"Is Product Available for Purchase with Google Checkout","Продавать через Google Checkout?"
"Is Required","Обязательно"
"Items %s to %s of %s total","Товары с %s по %s из %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Для запрета выставления товара на витрине конкретного магазина Вам нужно переключить систему в режим конкретного магазина/витрины (левый верхний угол), и затем в этом режиме перевести требуемые товары в состояние «не продавать»."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Для запрета выставления товара на витрине конкретного магазина Вам нужно переключить систему в режим конкретного магазина/витрины (левый верхний угол), и затем в этом режиме перевести требуемые товары в состояние «не продавать»."
"Keep your eyes open for our special Back to School items and save A LOT!","Обрати внимание на наши товары специального предложения Back to School и СЭКОНОМЬ!"
"Label","подпись"
"Last Name","Фамилия"
"Last Notification","Последнее уведомление"
"Layered Navigation","Пошаговая фильтрация"
"Learn More","Узнать больше"
"Line %d, Email: %s","Строка %d, почта: %s"
"Line %d, SKU: %s","Строка %d, артикул: %s"
"Link (Related, Up sell, Cross sell)","Ссылка (сопутствующие товары, похожие товары, прикассовая зона)"
"Link product does not exist.","Ссылка на товар не существует."
"Link to a Specified Category","Ссылка на указанный раздел"
"Link to a Specified Product","Ссылка на указанный товар"
"List","список"
"List Mode","Как отображать множество товаров?"
"List of Products that are set as New","Список товаров, помеченных как новый товар"
"Manage Attribute Sets","Типы товаров"
"Manage Attributes","Свойства товаров"
"Manage Catalog Categories","Перечень товарных разделов"
"Manage Categories","Разделы"
"Manage Label / Options","Опции"
"Manage Options (values of your attribute)","Опции"
"Manage Product Attributes","Свойства товара"
"Manage Product Sets","Наборы свойств товаров"
"Manage Products","Товары"
"Manage Stock","Вести ли учёт наличия?"
"Manage Titles (Size, Color, etc.)","Параметры заголовков (размер, цвет и т.п.)"
"Manufacturer's Suggested Retail Price","Рекомендуемая производителем цена"
"Max Characters","Максимальное количество знаков"
"Maximal Depth","Максимальное количество уровней вложенности"
"Maximum Image Size","Максимальный размер изображения"
"Maximum Qty Allowed in Shopping Cart","Максимальное количество единиц данного товара, допустимое в одном заказе"
"Maximum allowed image size for '%s' is %sx%s px.","Максимальный разрешённый размер изображения для «%s»: %sx%s px."
"Maximum image height","Максимальная высота изображения"
"Maximum image width","Максимальная ширина изображения"
"Maximum number of characters:","Максимальное количество знаков:"
"Media Image","Медиа изображение"
"Meta Information","Поисковая оптимизация"
"Maximum 255 chars","Не более 255 знаков"
"Minimum Advertised Price","Ценово-рекламные ограничения"
"Minimum Lines per Page","Количество товарных разделов на одну страницу карты"
"Minimum Qty Allowed in Shopping Cart","Минимальное количество единиц данного товара, допустимое в заказе"
"Minimum Qty for Item\'s Status to be Out of Stock","Верхняя граница количества товара, ниже которой товар считается отсутствующим в продаже"
"Missing SKU, skipping the record.","Отсутствует артикул (SKU), пропуск записи."
"More...","Подробнее..."
"More Views","ещё картинки"
"Move","отложить"
"Move category in tree","Переместить раздел в дереве"
"Must be in the allowed values list.","Должен быть в списке разрешённых значений."
"N/A","неизвестно"
"Name","Название"
"Name in %s","Название в %s"
"New","Новинка"
"New!","Новинка!"
"New Product","Новый товар"
"New Product Attribute","Новое свойство товара"
"New Products","Новинки"
"New Products Grid Template","Новинки. Шаблон в виде плитки"
"New Products List Template","Новинки. Шаблон в виде списка"
"New Root Category","Новый товарный раздел"
"New Search","Новый поисковый запрос"
"New Set Name","Название нового набора"
"New Subcategory","Новый подраздел"
"Next","Следующая"
"No","нет"
"No image","Нет изображения"
"No layout updates","Нет обновлений макета"
"No options of this product are available.","Недоступны варианты для этого товара."
"No product collections found.","Не найдено коллекций товара."
"None","нет"
"Not Visible Individually","Виден только как часть другого товара"
"Notify Low Stock RSS","заканчивающиеся товары"
"Notify for Quantity Below","Оповещать о количестве ниже"
"Number of Products to Display","Количество товаров для отображения"
"Number of Uses","Показов"
"Number of results<br/>(For the last time placed)","Количество результатов<br/>(для последнего раза)"
"OK","OK"
"OR","ИЛИ"
"Old Price:","Старая цена:"
"On Gesture","при нажатии на покупателем на специальную ссылку"
"Option validation failed to add product to cart.","Не пройдена проверка варианта для добавления товара в корзину."
"Option:","Вариант:"
"Options Control","Управление вариантами"
"Options is required","Необходимы варианты"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Отсутствует"
"Out of stock","Отсутствует"
"PM","PM"
"Page Title Separator","Разделитель заголовка страницы"
"Parent Category","Родительский раздел"
"Pending","В очереди"
"Pending Reviews RSS","RSS неподтвержденных отзывов"
"Percentage","Процент"
"Placeholder","Картинка-заглушка"
"Please add rows to option.","Укажите допустимые варианты для данной опции."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Будьте внимательны, при щелчке на строке будет загружена информация из выбранного файла и все несохранённые данные будут потеряны."
"Please click on the Close Window button if it is not closed automatically.","Если окно после завершения обработки не закроется само, то нажмите кнопку «Закрыть окно»."
"Please enter a new group name","Укажите название для новой группы свойств"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","<a href=""%s"">Обновите расчётные таблицы</a>"
"Please select a static block ...","укажите самодельный блок..."
"Please select items.","Выберите объекты."
"Please select one or more attributes.","Укажите свойства."
"Please select product(s).","Выберите товары."
"Please select products for attributes update","Укажите, для каких товаров требуется обновить свойства"
"Please specify date required option(s).","Укажите дату."
"Please specify the product required option(s)","Укажите значения опций товара"
"Please specify the product required option(s).","Укажите значения опций товара."
"Please specify the product\'s option(s).","Укажите значения опций товара."
"Please specify the product\'s required option(s).","Укажите значения опций товара."
"Please specify the product's required option(s)","Укажите значения опций товара."
"Please specify the product's required option(s).","Укажите значения опций товара."
"Please specify the quantity of product(s).","Укажите количество товара."
"Please specify time required option(s).","Укажите время."
"Please wait...","Подождите..."
"Position","Стандартно"
"Position in Layered Navigation","Порядковый номер свойства в блоке пошаговой фильтрации"
"Position of attribute in layered navigation block","Порядковый номер свойства в блоке пошаговой фильтрации"
"Prev","Пред"
"Previous","Предыдущая"
"Price","Цена"
"Price Navigation Step Calculation","Как определять длину ценового интервала?"
"Price Type","Тип цены"
"Price is not available","Цена не доступна"
"Price values for options should be specified in system base currency.","Значения цен для вариантов должны быть указаны в учётной валюте."
"Price:","Цена:"
"Price: %s","Цена: %s"
"Prices","Цены"
"Print This Page","Распечатать страницу"
"Product","Товар"
"Product API","API товара"
"Product Alerts","Оповещения о товаре"
"Product Attribute","Свойство товара"
"Product Attributes","Пошаговая фильтрация"
"Product Categories","Раздел товара"
"Product code:","Код товара:"
"Product Description","Описание товара"
"Product Desrciption","Описание товара"
"Product Extra Info","Характеристики"
"Product Flat Data","Товары"
"Product ID","№ товара"
"Product Image Placeholders","Картинка-заглушка (отображается, когда администратор не указал для товара другую картинку)"
"Product Image Watermarks","Водяной знак"
"Product Images","Изображения товара"
"Product Images API","API изображений товара"
"Product In Websites","На каких сайтах публиковать этот товар?"
"Product Info Column","Параметры товара"
"Product Information",""
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Стандартный режим упорядочивания товаров"
"Product Name","Название товара"
"Product Prices","Цены"
"Product Reviews","Отзывы"
"Product Tags","Метки"
"Product Tier Price API","Программный интерфейс оптовых цен"
"Product Type","Системный тип товара"
"Product URL Suffix","Окончание для адресов страниц товаров"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","API прикладных типов товаров"
"Product attributes API","API свойств товара"
"Product collection expected.","Ожидается коллекция товара."
"Product is not loaded","Товар не загружен"
"Product links API (related, cross sells, up sells)","API ссылок товара (сопутствующие товары, похожие товары, прикассовая зона)"
"Product name","Название товара"
"Product types API","API типов товара"
"Products with recurring profile participate in catalog as nominal items.",""
"Product with this combination of attributes already associated to configurable.","Товар с этой комбинации свойств, уже связан с настраиваемым."
"Products","Товары"
"Products Comparison List","Сравнительная таблица товаров"
"Products Information","Настройки товара"
"Products Reviews","Отзывы о товаре"
"Products Sitemap","Карта товарного каталога"
"Products only","только товары"
"Products per Page on Grid Allowed Values","Разрешённые значения параметра «товаров на странице» в плиточном режиме отображения"
"Products per Page on Grid Default Value","Стандартное значение параметра «товаров на странице» в плиточном режиме отображения"
"Products per Page on List Allowed Values","Разрешённые значения параметра «товаров на странице» в сеточном режиме отображения"
"Products per Page on List Default Value","Стандартное значение параметра «товаров на странице» в сеточном режиме отображения"
"Properties","Свойства"
"Qty","Количество"
"Qty Increments","Требуемая кратность заказываемой партии данного товара"
"Qty Uses Decimals","Может ли количество товара быть дробным значением?"
"Qty for Item's Status to Become Out of Stock","Минимальное количество единиц данного товара на складе, по достижению которого товар считается отсутствующим в наличии"
"Qty:","кол-во:"
"Quantity","кол-во"
"Quantity:","кол-во:"
"Quick Create","Быстрое создание"
"Quick Overview","Краткое описание"
"Quick Overview:","Краткое описание:"
"Quick simple product creation","Быстрое создание простого товара"
"Quick View","Открыть"
"Records for ""","Записей для """
"Recurring Payment Profile","Параметры"
"Recurring Profile","Периодическая услуга"
"Redirect","Перенаправление"
"Redirect URL","Перенаправить посетителя по адресу:"
"Regular Price:","Обычная цена:"
"Related Products","Сопутствующие товары"
"Remove","Удалить"
"Remove Product From Websites","Удалить товар с сайтов"
"Remove This Item","Удалить позицию"
"Remove product assignment","Удалить назначение товара"
"Remove product image","Удалить изображение товара"
"Remove product link","Удалить ссылку товара"
"Reorganize EAV category structure to flat structure","Хранит товарные разделы в денормализованном виде"
"Reorganize EAV product structure to flat structure","Хранит товары в денормализованном виде"
"Reset","сбросить"
"Results","Найдено товаров"
"Retrieve attribute data","Получить данные свойства"
"Retrieve attribute list","Получить список свойств"
"Retrieve attribute options","Получить параметры свойства"
"Retrieve categories tree","Получить дерево разделов"
"Retrieve category attributes","Получить свойства раздела"
"Retrieve category data","Получить данные раздела"
"Retrieve hierarchical tree","Получить дерево иерархии"
"Retrieve linked products","Получить связанные товары"
"Retrieve list of assigned products","Получить список назначенных товаров"
"Retrieve one level of categories by website/store view/parent category","Получить 1 уровень раздела сайта/витрины/родительского раздела"
"Retrieve product","Получить товар"
"Retrieve product attribute sets","Получить прикладные типы товаров"
"Retrieve product image","Получить изображение товара"
"Retrieve product image list","Получить список изображений товара"
"Retrieve product image types","Получить типы изображений товара"
"Retrieve product link type attributes","Получить свойства типа ссылки товара"
"Retrieve product link types","Получить типы ссылки товара"
