"%1$s points = %2$s","%1$s баллов = %2$s"
"%2$s = %1$s points","%2$s = %1$s баллов"
"%.0F currency points","%.0F единиц валюты магазина"
"%s reward points","%s баллов"
"%s reward points (%s)","%s баллов (%s)"
"Add New Rate","Добавить курс..."
"Save Subscription Settings","сохранить настройку оповещений"
"Send invitation now and earn %s when your invitee registers on our site.","Вы получите по %s за регистрацию в магазине кажого из приглашённых Вами друзей."
"Settings were successfully saved.","Настройки сохранены."
"Signed up for newsletter with email %s.","Подписка на новости магазина для адреса %s."
"Static","запоминать дату истечения срока годности при начислении баллов"
"Static defines Expiry Date at the Moment when Balance increases. Dynamic does not have Expiry Date, but calculates it when Balance is being checked for expiry","Static defines Expiry Date at the Moment when Balance increases. Dynamic does not have Expiry Date, but calculates it when Balance is being checked for expiry"
"Store","Store"
"Submit a new tag now and earn %s once the tag is approved.","Опишите товар меткой и получите %s после одобрения метки модератором."
"Submit a review now and earn %s once the review is approved.","Напишите к товару отзыв и получите %s после одобрения отзыва модератором."
"Subscribe Customers by default","Subscribe Customers by default"
"Subscribe for balance updates","Подписать покупателя?"
"Subscribe for points expiration notifications","Subscribe for points expiration notifications"
"Subscribe to our newsletter now and earn %s.","Подпишитесь на новости нашего магазина и получите %s."
"There is no balance history yet.","История изменений баланса пуста."
"Unsubscribtion failed.","При отписке произошёл сбой."
"Up to %s invitee purchase(s) can be rewarded.","Вам будут начислены бонусы максимум за %s покупок приглашённых Вами друзей."
"Up to %s invitee registration(s) can be rewarded.","Вам будут начислены бонусы за регистрацию в магазине до %s друзей."
"Up to %s new review(s) can be rewarded.","Вам будут начислены бонусы максимум за %s отзывов к товарам."
"Up to %s new tag(s) can be rewarded.","Вам будут начислены бонусы максимум за %s меток к товарам."
"Update Points","Добавить баллов"
"Update Reward Points Balance","Изменить баланс"
"Updated by moderator.","Изменено администратором."
"Use my reward points, %s available","Использовать накопленные баллы (%s на счету)"
"Website","Сайт"
"You have been successfully unsubscribed.","Вы отписаны от оповещений накопительной программы."
"Your current balance is %s.","У Вас уже %s"
"Page","страница"
"Total %d records found","всего записей: %d"
"View","по"
"of %s pages","из %s"
"per page","на страницу"
"delete","удаление"
"login","авторизация"
"save","сохранение"
"view","просмотр"
"move","перемещение"
